aid,sub,本科学校档次,本科专业,本科成绩和算法、排名,其他说明,研究生专业,研究生成绩和算法、排名,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
2073577,,双非,信息管理与信息系统,,六级 +,,,,6,6.5,6,5.5,5,,,,,,,,,,,,,
2073584,,211 & 985,心理学,3.83/4.0,三年 校级 奖学金 没有 牛 推水 实习 科研 经验 年 半 国内 会议 一作 篇 国外 会议 二作 篇 我 申 的 这个 项目 是 教育 心理学 虽然 都 是 发展 心理学 方向 但是 写 的 时候 换个 侧重点 来 写 看起来 还是 跟 教育 心理学 很 的 套路 啊 套路,,,,7,7.5,7.5,6,6.5,,,,,,,,,,,,,
2073566,,美本,历史,3.34/4.0,  美本 文理学院 非 相关 专业   三个 国内 传媒 公关 类 的 实习 + 一段 文案 + 校报 目前 在 美国 一线 城市 做 新 媒体 相关 实习   因为 没有 很多 新闻 相关 的 所以 就 找 了 之前 写 的 别的 东西 给 了 篇 两个 给 校报 写 的 两篇 左右 的   一篇 的  ,,,,,,,,,,,,,,322,160,162,3,,,,
2073579,,英本,会计与金融,,在 旅游 行业 上班 中 月 号 还 收到 港大 的 一个 推研 并 不是 很 想 去 那个 专业 但 奈何 我妈 太爱港 大 了 现在 还 在 等 另 一个 最 想要 的 祝 我 好运 吧,,,,,,,,,,,,,,,,,,,,,
2073599,,211,英语法学双学位,,本科 法学 双学位 学渣 几年 多个 模拟 法庭 经验 读书 期间 有 几年 奖学金 和 论文 奖 志愿 活动 若干 实习 若干 美国 所 正式 工作 半年 内所 工作 近 四年 推荐信 多数 学校 给 了 三封 个别 就 给 了 两封 现 老板 一封 研究生 导师 一封 比赛 时候 的 老师 一封,法学,,211,,,,,,,,,,,,,,,,,,
2073588,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,广播电视新闻学,84,,,,,,,,,,95,26,24,22,23,,,,,,,,
2073587,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子信息科学与技术,,,,,,,,,,,93,25,22,20,26,,,,,,,,
2073602,,211,会计学,3.23/4,,,,,6.5,7.0,7.5,5.5,5.5,,,,,,,,,,,,,
2073617,,国外院校,社会学,GPA3.7,,法律,3.6,国外院校,8.5,8.5,8.5,8,8.5,,,,,,,,,,,,,
2073627,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,数学与应用数学,88/100,,,,,,,,,,,,,,,,,,,,,,
2073641,,211 & 985,园林,86,,,,,,,,,,,,,,,,,,,,,,
2073660,,211,信息与计算科学,85.6,,,,,,,,,,92,26,22,20,24,316,148,168,3.5,,,,
2073639,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,国际经济与贸易,3.41/4.0,,,,,,,,,,111,30,29,24,28,325,155,170,3.5,,,,
2073645,,华东政法大学,社会学&法学（二专）,3.80/4.0   top1,本科 阶段 绩点 高   发了 一篇 很水 的 法律 和 社会学 交叉 的 论文   跟着 教授 做 了 一个 快 一年 的 科研项目 拿 了 上海市 的 奖 打过 辩论 参加 过 模拟 联合国 拿 了 各种 奖学金 司考 大三 暑假 过 的 分和华政 很多 ＋ 大神 比 还是 挺弱 的 阶段 绩点 高 拿 了   参加 了   做 了 教授 科研项目 的 两 学期 都 有 选写 论文 的 课 增加 和 老师 探讨 学术 的 机会 增强 自己 学术 能力 年律 所 工作 非诉 业务 边 工作 边写 研究 计划 以及 与 教授 的 邮件 探讨 月份 完成 申请 和 各种 材料 的 递交 累到 哭 唧唧 过 完年 辞职 在家 躺 尸 后面 接到 面试 通知 一个 礼拜 后 推研 一天 后 正式 下来 并 要求 我补        ,International Economic Law,3.55/4.0 top 10%,The Chinese University of Hong Kong,7.5,9,8.5,6.5,6.5,,,,,,,,,,,,,
2073655,,211,建筑学,"3.56/5,10/81",半年 实习 经验 九个 月 全职 工作 经验,,,,6.5,7,6.5,6,6,,,,,,,,,,,,,
2073683,,北京理工大学,机械工程,6/40,大四 一年 的 国外 交换 经历 加 两份 银行 的 实习,,,,7,8.5,7.5,5.5,5.5,,,,,,,,,,630,26,50,
2073662,,双非,汉语国际教育,79.6/100,,,,,6.5,7,7,6,6,,,,,,,,,,,,,
2073667,,211学校,会计,3.7/4.0（WES）,优秀 毕业论文 强 实习 + 银行 水 实习 志愿 活动 若干 各种 比赛 三等奖,,,,7,7,7,7.5,5.5,,,,,,,,,,,,,
2073677,,211 & 985,风景园林,3.73,,,,,,,,,,,,,,,,,,,,,,
2073726,,双非,教育学,3.7/4.0 专业前十,,,,,,,,,,111,30,29,24,28,330,160,170,3.5,,,,
2073689,,211 & 985,交通工程,87，2/44,,,,,,,,,,106,30,27,23,26,324,156,168,3,,,,
2073688,,211 & 985,交通工程,87，2/44,,,,,,,,,,106,30,27,23,26,324,156,168,3,,,,
2073733,,211,法学,91.05，3,,,,,6.5,6.5,7.5,6,6,,,,,,,,,,,,,
2073681,,清华/北大/中科大,English literature,3/46,,,,,,,,,,116,30,28,29,29,336,166,170,4.5,,,,
2073712,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法语,4.5/5,,新闻学,,211,7.5,8.5,8.0,6.5,6.5,,,,,,324,160,164,4,,,,
2073703,,211,行政管理/经济学,3.34/2.9,无 论文   无牛 推   十个月 经济学 不 相关 工作 经验,,,,7,7.5,7.5,6,6,,,,,,,,,,,,,
2073722,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,"92/100, 1",普内 实习 模拟 法庭 最佳 辩手 耶鲁 暑期 交流 国奖 市奖 校奖 无 科研 无 论文 无牛 推,,,,,,,,,111,29,28,26,28,,,,,,,,
2073758,,HKSYU,Economics and Finance,,,,,,7,7,7.5,8,6,,,,,,,,,,,,,
2073740,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,食品科学,84.8,无 论文 只有 两个 很水 的   申请 的 时候 陶瓷 几乎 无果 食品 申请 真的 比较 看 陶瓷,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,7,8,8,6,6,,,,,,314,151,163,3,,,,
2073760,,双非,会计,2.98,,,,,,,,,,87,24,21,20,22,,,,,500,290,210,
2073732,,Capital Normal University,Environmental Art Design,3.5/4.0,,Landscape Architecture,3.5/4.0,,,,,,,,,,,,332,162,170,4.0,,,,
2073759,,211 & 985,cs,3.24,,,,,,,,,,93,29,19,20,25,319,150,169,3.0,,,,
2073770,,211 & 985,经济学,3/25,,,,,,,,,,96,25,24,23,24,,,,,,,,
2073766,,双非,教育学,,,,,,,,,,,,,,,,,,,,,,,
2073771,,双非,钢琴,3.5,,,,,,,,,,90,25,23,20,22,,,,,,,,
2073774,,211 & 985,金融学,,,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,108,30,30,23,25,330,160,170,4,,,,
2073793,,,,,,Architecture,,美研,,,,,,,,,,,,,,,,,,
2073798,,,Environmental engineering,4.0/4.0,  大概 一年 半 的 经验 推荐信 的 教授 都 认识 应该 都 写 得 很 好 其实 单独 的 发过 了 这个 就是 整合 了 一下 方便 大家 看,,,,,,,,,,,,,,322,152,170,4,,,,
2073777,,211,电子商务,3.55/5.0,波兰 交换 生 经历 一年 实习 若干 一次 优秀学生 称号 第一 一次 优秀学生 干部 一等 奖学金 一次 优秀学生 三等 奖学金,,,,7,7,8,6.5,6,,,,,,,,,,,,,
2073776,,台湾院校,Landscape Architecture,3.6 / 4,两个 校级 奖学金 及系 上 竞赛 获奖 大陆 园林 设计院 +   实习,,,,7,7.5,8.5,6,6.5,,,,,,,,,,,,,
2073790,,211,法学,3.8/5， 19/177,有 三次 实习 经验 参加 过贸仲有 奖学金 等 荣誉 水水 的 学术 发表,,,,7.5,8,8,6.5,7,,,,,,,,,,,,,
2073799,,南开大学,会展经济与管理,86.083,去过 日本 早稻田 暑期 交换 全奖 去 法国 商学院 交流 学期 三个 实习,,,,7,7.5,7.5,6,6,96,24,27,23,22,328,157,167,4,,,,
2073773,,211 & 985,新闻学,88/100,台湾 交流 半年 奖学金 校内 奖学金 两个 科研 社会 实践 等 小奖 公司 和 报社 实习 无牛 推,,,,7,7.5,7.5,7,6,,,,,,,,,,,,,
2073800,,211 & 985,国际经济与贸易,3.4,,Economics,,海外高校,,,,,,100,24,28,23,25,321,153,168,3.5,,,,
2073835,,211,新闻学,84.94  4/45,,,,,7,7.5,7.5,6,6,,,,,,,,,,,,,
2073801,,双非,金融,3.71,主要 在 和 中 纠结 现在 是 想 以后 做 宏观 金融 但是 这两项 稍弱 一些 而且 印第安纳 的 比要 好 第一年 给 一万五 第二年 开始 涨 到 一万七千 五 印第安纳 额外 多 给 了 四千 总共 是 两 万出头 求 各位 意见 谢谢,经济学,4.0,UT-Austin,,,,,,109,30,30,23,26,330,160,170,3.0,,,,
2073807,,211,法学,双学位，法学均分85，另一管理学学位均分87,评级 两个 线 所 实习 学校 法律 诊所 实习 美国法院 实习 全国 模拟 法庭 两篇 水 论文 欧洲 交换 一年 泰国 志愿者 推荐信 是 申请 方向 的 国内 学术 领先 教授 和 实习 律所 合伙人 所有 都 是 卡 着 交 的 还 在 等 几个 学校 的 消息 也 做好 接受 现有 的 准备 啦,,,,,,,,,109,27,29,24,29,,,,,,,,
2073831,,双非,经济学,76% 英制算法,    学位   一等 学位 其他 全部,,,,7.5,9,8.5,6,6,,,,,,323,153,170,3.5,,,,
2073836,,双非,翻译,85.5,,,,双非,7,8,7,6.5,6,,,,,,,,,,,,,
2073839,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,某EE,84+  大概前30%,一般 经历,,,,6.5,7,7.5,6,6,,,,,,,,,,,,,
2073833,,211 & 985,经济,3.7,,,,211 & 985,7.5,8,8.5,6.5,7,,,,,,331,161,170,4,,,,
2073837,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,4.3/5.0，LSAC评级AA,省级 创新 项目 一个 中级 人民法院 普内 短期 实习 英文 模拟 法庭 竞赛 一次 未进 决赛,,,,,,,,,105,29,28,24,24,,,,,,,,
2073869,,双非,生物技术,3.32,,,,,6.5,7.5,7.5,6,5.5,,,,,,,,,,,,,
2073845,,双非,英语,3.41/4  5/35,号 收到 的 城 大发 的 很快 大概 一共 十一二 天 就 下 了 … … 交过 留位 费 应该 是 回 从 了 … … 求 同学 吧 微 信号 是   祝 大家 都 早日 收到,,,,7.5,8.5,7.5,7,6.5,,,,,,,,,,,,,
2073840,,211 & 985,Materials Chemistry,3.45 19/95,三作 挂名 一篇 一直 跟着 学长 做 了 两年 科研 然而 并 没有 做出 什么 有用 的 东西,,,,,,,,,94,29,22,19,24,315,148,167,3.5,,,,
2073851,,双非,金融,3.8,,,,,,,,,,96,25,27,20,24,,,,,,,,
2073888,,211,动画,3.15/4,方向 两份 实习 报业 传媒 和 电视台 两个 作品 很 一般,,,,,,,,,,,,,,,,,,,,,
2073871,,985&211,历史学,88.14   2/17,国创 组长 做过 田野 调查 因为 喜欢 传媒 本科 一直 在 努力 做 历史 和 媒体 结合 的 研究 外国 期刊 发表 书评 一篇 很水 北京电视台 实习 一段 跟着 本科 的 导师 参与 一个 电视片 的 脚本 撰写 还 写 过 一个 人物 专题片 分镜头 剧本 英国 暑期 项目 一次 大四 上 加拿大 交换 一 学期 学习     和     大 一大 二 校内外 学生 活动 非常 多 什么 院 学生会 副 主席 啦 主持人 啦 达沃斯 志愿者 啦 都 有 一些 然而 申 这些 真的 没 啥 用 … …,,,,,,,,,109,30,28,23,28,318,159,159,3.5,,,,
2073881,,清华/北大/中科大,经济学,88,,经济学,92,清华/北大/中科大,,,,,,105,28,28,23,26,328,158,170,3.5,,,,
2073903,,211+985,广告,3.77 (wes),两段 比较 重要 的 实习 一个 一个 甲方 也 有 其他 传媒 相关 小 实习 一段 不水 的 国内 支教 经历 会 写 报道 策划 活动 之类 一 学期 交流 项目 奖学金 实践 比赛 获奖 学生 活动 若干 其中 一封 实习 推荐信 比较 有 分量,,,,,,,,,105,27,29,24,25,320,154,166,3.5,,,,
2073925,,211,英语师范,WES验证 3.71/4,新东方 实习 公立 初中 实习 教育局 实习,,,,,,,,,110,29,30,24,27,328,159,169,3.5,,,,
2073927,,国内屌丝学校,建筑学 工学学位,,                                             ,March with advanced standing,,,,,,,,,,,,,,,,,,,,
2073930,,,,,,,,,,,,,,,,,,,,,,,,,,
2073935,,211,金融学,3.46,,,,,7,8.5,7,6.5,6,,,,,,,,,,,,,
2073917,,211,Physics,3.84/4.0,四篇 水 文章 比赛 很多 有国奖 有 很多 的 实习 和 学生 工作 最近 获得 了 在 寄托 上 从 零到 一学 了 很多 所以 也 希望 学弟 学妹 们 能 申到 自己 喜欢 的 学校,,,,,,,,,95,29,23,23,20,,,,,,,,
2073942,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,国际经济与贸易,3.41/4.0,,,,,,,,,,111,30,29,24,28,325,155,170,3.5,,,,
2073943,,双非二本,,3.6/4.0,,,,,,,,,,,,,,,,,,,,,,
2073937,,211 & 985,统计,3.4,,,,,,,,,,,,,,,,,,,,,,
2073947,,双非,新闻传播学类 广告学,均分88，第一,大广赛 省级 二等奖 国家级 优秀奖 计算机 设计 大赛 中南 地区 三等奖 国家 奖学金 等 电视台 记者 与 后期 剪辑 实习 经历 电影 剧组 工作 经历 等,,,,,,,,,,,,,,,,,,,,,
2073959,,monash university,economics,gpa2.5,,,,,,,,,,,,,,,,,,,,,,
2073941,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,临床医学,3.82/4.0,论文 只有 一篇 挂名 的 推荐信 就是 本科 实验室 给 的 还有 一封 是 班主任 的 社会活动 丰富 奖学金 也 就 学校 三奖 还 有些 什么 杂七杂八 的 外设 奖学金,,,,,,,,,89,23,22,22,22,,,,,,,,
2073961,,武汉大学,翻译,3.8/4.0,特别 项目 年 毕业 但是 期间 可以 出国 再 读 一个,国际法,5分,211,,,,,,115,30,29,29,27,323,158,165,4.5,,,,
2073945,,211 & 985,哲学,88/100,纯 申请 对于 硕士 申请 来说 没有 明显 短板 也 没有 啥 超 亮眼 的 具体 的 之前 的 帖子 里 放过 了 有 什么 可以 帮忙 的 可 私信,,,,,,,,,106,29,29,23,25,327,163,164,3.5,,,,
2073970,,双非,民商法,3.71,无 论文 无牛 推顶 内 实习,,,,7.5,8.5,8,6,6.5,,,,,,,,,,,,,
2073975,,211 & 985,机械控制类,3.5 11/113（9.7%）,水 论文 水 实习 校领导 推荐 实验室 学生会 主席,,,,,,,,,,,,,,,,,,,,,
2074000,,华中科技大学,Naval Architecture and Marine Engineerin,3.78/4.0,,,,,,,,,,98,29,21,20,28,321,153,168,3,,,,
2073982,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85.4,实习 欧洲 水 交换 社团活动 若干,,,,7,8.5,6.5,6,6.5,,,,,,324,170,154,3,,,,
2073972,,211,法学,aa,有 论文 有 科研 有 实习 有 奖学金 有 比赛 但是 都 不 出彩,,,,,,,,,,,,,,,,,,,,,
2074006,,双非,机械工程,,,机械工程,,211 & 985,,,,,,,,,,,,,,,,,,
2074021,,Keio University,数学,3.70/4.0,无 论文 次 短期 实习 大学 年 中 获得 过年 日本政府 给 的 奖学金 大大 同时 获得 过年 我们 大学 自己 给 的 奖学金 大大,,,,7,7.5,7.5,7,6.5,101,27,26,19,29,325,155,170,3,,,,
2074028,,University of Liverpool,Urban regeneration and Planning,,有 两年 工作 经验 英国 利物浦 大学毕业 成绩 二等 一 说不上 多好 但是 还是 硬着头皮 申请 了 没想到 出奇 的 顺利,,,,,,,,,,,,,,,,,,,,,
2074007,,双非二本,marketing,90/100 专业第一,各种 奖学金 一年 多 工作 经验 个 国家 励志 个 国家 大赛 二等奖 论文 发表,,,,,,,,,,,,,,,,,,,,,
2074022,,211 & 985,信息科学,3.7/4  5/27,,,,,6.5,7,7.5,6,6,,,,,,,,,,,,,
2074020,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,保险学,82,,,,,,,,,,,,,,,,,,,,,,
2074040,,双非,国际关系，外交学,平均分89，绩点3.68/4.0，排名不知道,,,,,,,,,,,,,,,,,,,,,,
2074037,,南开大学,社会工作,81,,,,,7,85,7,6.5,6.5,,,,,,,,,,,,,
2074035,,211,新闻学,3.81/4,,,,,7,8.5,7.5,5.5,6.5,,,,,,,,,,,,,
2074034,,211,材料科学与工程,85.6/100,竞赛 无 文章 无 交流 无 项目 一个 校内 一个 国家 院所 推荐信 两个 校内 其中 一个 专业 带头人 一个 国家 院所 其他 活动 各种 国家 志愿者,,,,7,7,8,6,6,,,,,,,,,,,,,
2074048,,,,,商科 工作 党 做 数据 相关,,,,,,,,,,,,,,,,,,,,,
2074042,,211,药分,92/100,三围 高 科研 渣 个人 觉得 还是 挺 重要 的 申 了 九个 学校 三个 一点 信儿 都 没有 六个 来 了 面试 申请 还是 挺 保守 的 没 咋 冲刺,,,,,,,,,104,28,28,22,26,328,161,167,3.5,,,,
2074050,,211,电子商务,89/3.71,无 论文   无 项目   无 海外 交流   建模 国家 二等   还有 其他 小 比赛 和 学生 组织,,,,6.5,8,6,5.5,6,,,,,,,,,,,,,
2074041,,双非,国际经济与贸易,88.4,管理 类 竞赛 省奖 一个 强 亚太 市场 实习 一个 工行 市场 实习 一个 金融 私募 实习 每学期 奖学金 等等,,,,6.5,7.5,6.5,6,6,,,,,,,,,,,,,
2074071,,211,统计学,3.48,没有 拿 过奖 有过 一些 校园 奖项 和 省市 奖,,,,,,,,,94,25,24,22,23,313,165,148,3,,,,
2074047,,211 & 985,大学,3.88,,,,,7.5,8,8,6.5,6.5,,,,,,,,,,,,,
2074059,,双非,测绘工程,2.7 总分4,双非 无 任何 相关 背景 毕业 之后 做过 一定 的 相关 工作 软件测试,,,,6.5,7,7,7,5.5,,,,,,,,,,,,,
2074061,,211 & 985,车辆工程,91/100,,,,,,,,,,109,30,28,26,25,326,156,170,"3,5",,,,
2074054,,211,统计学,5/37,,,,,,,,,,97,27,24,24,22,322,168,154,4,,,,
2074074,,211,法学,3.57/4 排名：5,,,,,7.5,8,8,6.5,6.5,,,,,,,,,,,,,
2074089,,211 & 985,社会学,87.8,应该 算 国内 校 ？ 跨专业 学分 绩 被 数学 拖 得 很惨 一共 三份 实习 其中 有 一个 长 达 大半年 的 媒体 实习 很不水 提交 了 一份 诚意 满满的 作品集 终于 收到 女神 校 幸福 全程 靠着 各种 前辈 的 指导 拼 文书 从 寄托 上学 到 很多 感恩 希望 大家 都 能 收到 理想 的,,,,7.5,8.0,8.5,6.5,6.5,,,,,,,,,,,,,
2074085,,211 & 985,城市规划,3.49（学校）3.18（WES）,一个 竞赛 一个 研究 一次 工作坊,,,,,,,,,,,,,,,,,,,,,
2074097,,双非,给排水科学与工程,3.8/5     1/71,,,,,,,,,,97,27,26,22,22,318,148,170,3.5,,,,
2074116,,华东师范大学,社会学,3.5,,,,,,,,,,104,29,30,22,23,,,,,,,,164
2074144,,985,国贸,91/100,两篇 论文 未 发表 但 都 比较 用心 吧 两段 助研 数模 奖 实习 证券 + 咨询 无牛 推 但 都 来自 比较 了解 我 的 老师 带 我 助研 给 我 上课 指导 我 写 过 论文 参加 过 比赛 之类 的,,,,8,8.5,8.5,6.5,7.5,,,,,,332,162,170,4.5,,,,
2074114,,清华/北大/中科大,法学,aa,,,,,,,,,,,,,,,,,,,,,,
2074093,,美东,建筑,3.4 | 4,,,,,,,,,,,,,,,316,152,164,3.5,,,,
2074138,,双非,机械工程,3.34,一篇 学生 一作 三篇 发明专利 一篇 学生 三作 研二研 三 在 清华 做 课题,机械工程,3.68,"985,211",,,,,,90,25,21,23,21,314,151,163,3.5,,,,
2074150,,211,风景园林,3.28,,,,,,,,,,100,27,26,22,25,322,152,170,3.0,,,,
2074140,,211 & 985,数学,,,,,,6.5,7.5,7.0,5.5,5.5,,,,,,,,,,,,,
2074146,,双非,法学+金融学（辅修）,3.41/4.00  10%,基本 情况       渣 本科 渣绩 点 渣 中渣 托福 无 发表 参加 学生会 社团活动 较 多 有 两个 课题 项目 年 工作 党 未来 工作 方向 很 明确 无牛 推       托福 太低 了 真的 不好意思 就 不 贴出来 了 和 都 给 了   因为 语言 还要 再考 一次 可见 托福 渣 的 程度 面试 过 和 对方 都 惊讶 说 感觉 语言 水平 还 不错 为啥 成绩 这么 低   面试 还是 蛮 重要 的 工作 党 托福 是 王道 啊啊啊,,,,,,,,,,,,,,,,,,,,,
2074106,,双非一本,软件工程,88/100,检索 会议 论文 一作 小 公司 实习 奖学金,,,,,,,,,,,,,,,,,,,,,
2074148,,211 & 985,生物医学工程,85.5/100 3/99,奖学金 很多   跟着 学校 每个 暑假 实训   自己 实习 过 一次   无 论文,,,,,,,,,99,30,23,22,24,317,150,167,3,,,,
2074157,,双非,测绘工程,3.46，排名5/50,一个 水 实习 一个 国家级 开发 奖 奖学金 若干 志愿者 若干,,,,,,,,,96,27,26,20,23,318,152,166,3.0,,,,
2074152,,双非,法学+金融学（辅修）,3.41/4.00  10%,基本 情况       渣 本科 渣绩 点 渣 中渣 托福 无 发表 参加 学生会 社团活动 较 多 有 两个 课题 项目 年 工作 党 未来 工作 方向 很 明确 无牛 推       托福 太低 了 真的 不好意思 就 不 贴出来 了 和 都 给 了   因为 语言 还要 再考 一次 可见 托福 渣 的 程度 面试 过 和 对方 都 惊讶 说 感觉 语言 水平 还 不错 为啥 成绩 这么 低   面试 还是 蛮 重要 的 工作 党 托福 是 王道 啊啊啊,,,,,,,,,,,,,,,,,,,,,
2074160,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,地球化学,88/100,一篇 一作 两篇 二作 一篇 中文 一作,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,104,28,27,22,27,328,158,170,3.5,,,,
2074159,,985,经济,86,经历 主要 有省 创 导师 指导 下 做 的 一个 题目 一个 统计 调研 的 比赛 美赛 支教 经历 队长 和 海外 志愿者     推荐信 是 本校 三位 老师 写 的 分别 是 自己 导师 副教授 两位 任课老师 教授 和   也 没有 其他 什么 特别 的 经历 申请 的 时候 没有 找 中介 文书 也 是 自己 写 的 硬 条件 不算 特别 好 从 结果 来看 可能 是 写 的 帮 了 不少 忙 ╯ □ ╰,,,,,,,,,,,,,,330,160,170,3.0,,,,
2074164,,211 & 985,哲学,,,视觉文化研究,,双非,,,,,,,,,,,,,,,,,,
2074194,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,传播学,3.64（WES）,拿过 两次 一等 奖学金 非国奖 有 半年 澳洲 交换 经历 成绩 跟本 学院 老师 做 一个 理政 的 项目 两份 实习 一份 在 媒体 一份 在 三份 推荐信 分别 是 本院 的 课程 老师 项目 老师 和 老板 因为 专业 设置 的 原因 修过 不少 政治学 方面 的 课 定量 修过 基本 的 统计 大三 寒假 上 了 上 大 和 港 科大 合办 的 社科 方法 培训班,,,,,,,,,111,29,30,24,28,327,160,167,4.0,,,,
2074172,,211,电子信息科学与技术,90.1/100 2/91,,,,,6.5,7,7.5,6,6,,,,,,,,,,,,,
2074166,,211,信管,3.1,一 出版社 水 实习 一 实习 校内 实践 校外 海外 志愿者 国外 交换,,,,,,,,,102,28,25,23,26,315,150,165,3,,,,
2074222,,211,CS,83.78,篇 英文 水 论文 另篇 正在 写 两个 小 项目,CS,89.32,211,,,,,,96,27,26,20,23,316,152,164,3.0,,,,
2074186,,三本院校,环境艺术设计,3.4/4,,,,,,,,,,82,24,18,20,20,,,,,,,,
2074201,,南京理工大学,新能源科学与工程,84.58，专业排名第六,美赛 三等奖 江苏省 优秀 志愿者 校 奖学金 英国 伯明翰 大学 暑期 交流 经历 实习 经历 县 能源 局 一个 股份制 大 公司 外加 一个 小 公司 校级 科研 无 论文,,,,6.5,6.5,7,6,6,,,,,,,,,,,,,
2074218,,上海财经大学,经济学,3.19/4.00,                     ,经济学,3.93/4.00,University of Wisconsin-Madison,,,,,,104,30,27,20,27,323,153,170,3,,,,
2074241,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,材料成型及控制工程,3.2/4,论文 一作 篇 一篇 挂名 若干 四段 研究 经历,材料加工工程,3.4/4,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
2074245,,双非,广播电视学,3.82/4,校内 科研 一段 地方 电视台 实习 一段 演出 运营 实习 一段 政府 实习,,,,6.5,6.5,7,6,5.5,,,,,,,,,,,,,
2074233,,双非,英语翻译,3.62/5,今天上午 收到 的 月 号 申请 的 半个 月 就 来 了 为 城大 的 效率 和 周末 还 上班 点个 赞 当初 是 为了 保底 临时 加申 的 双非 一本 专四 良好 有 两个 校级 奖学金 一个 关于 语言学 的 大创 项目 几个 实习 有 知名 英语 机构 的 英语 助教 广交会 和 其他 展会 摊位 翻译 几个 校级 院级 小 奖,,,,,,,,,,,,,,,,,,,,,
2074250,,中國醫藥大學,醫學檢驗與生物技術,3.97/4.3,在 台灣 某號 稱 世界 三百 大 的 醫學院 讀 本科 三圍 只有 能 看 本科 和 研究所 系所 差別 很大 但是 從 大三 開始 跟 生物 材料 相關 實驗室 社會 活動 很多 主要 是 做志願者 還有 學生會 副 會長 一年 一篇   四作 兩篇   待 了 三年 實驗室 去 交換過 一個 月 上過 中科院 的 暑校 在 台灣 工研院 見習 過現 在 在 台 中榮民 總醫院 實習 中 一篇 美國 材料 系 教授 牛 推 其他 都 是 請 實驗室 老師 寫 的,,,,,,,,,,,,,,,,,,,,,
2074238,,211,会计,87/100,各种 活动 两次 创业 一些 奖 澳洲 交流 一个月 美国 交流 一个月 两个 四大 实习 一个 银行 实习 一个 美资 财务部 实习 半年,,,,,,,,,95,28,21,23,23,,,,,650,50,27,
2074272,,双非,外交学,3.89/4.0,无 论文 连续 三年 奖学金 一个 省政府 实习 若干 志愿者 活动,,,,,,,,,,,,,,320,154,166,3.5,,,,
2074294,Physics（物理）                    990,211 & 985,Applied Physics,87,,,,,,,,,,110,30,30,23,27,326,156,170,3,,,,
2074284,,山东建筑大学,土木工程,85/100,,,,,6.5,5.5,6.5,6.5,7.5,,,,,,,,,,,,,
2074257,,211 & 985,法学,3.9/4.0  LSA评级：AA,一年 在 国内 某 宇宙 所 工作,,,,,,,,,105,29,28,23,25,,,,,,,,
2074265,,广东外语外贸大学,翻译,3.43/4.0,,,,,7,7.5,7.5,6.5,6.5,,,,,,,,,,,,,
2074306,,211,土地资源管理,3.75/4.5,两个 水 论文 公派 澳大利亚 交换 一 学期 一个 外导 推 申请,,,,,,,,,101,26,26,23,26,329,159,170,3,,,,
2074298,,双非,信息与计算科学,3.64,,,,,,,,,,,,,,,,,,,,,,
2074297,,陕西师范大学,化学,3.55,转学 情况 比较 特殊,,,,,,,,,98,26,23,23,26,323,155,168,3,,,,
2074314,,双非,数学与应用数学,86,有 一年 数据 运营 工作 经验   数学 建模 国 二   几个 其他 的 小奖,,,,6.5,7,7,6,6,,,,,,,,,,,,,
2074321,,双非,法学,2%,无 论文 校级 奖学金 学生 生活 无亮点 红圈 工作 两年 外所 两年 推荐信 两封 分别 来自 研究生 导师 无 海外 背景 和 现在 的 直线 老板 英国人 无 美国 教育 背景 没有 写 对 任何 法律 问题 的 分析 和 理解 主要 介绍 了 工作 经历 着重 写 了 工作 中 遇到 的 挑战 和 如何 解决 了 难题 接着 过渡 到   和     写 的 篇幅 占 到 三分之一 会 有 一两点 结合 各校 网站 上 宣传 的 特色 或 长处 去 写,法学,,双非,,,,,,111,29,30,23,29,,,,,,,,
2074310,,双非,商务英语,3.51,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
2074327,,双非,土木工程,top 5,,,,,7,8,8,6,6,,,,,,,,,,,,,
