,aid,sub,本科学校档次,本科专业,本科4.0绩点,本科4.3绩点,本科5.0绩点,本科均分,本科原始成绩,其他说明,研究生专业,研究生4.0绩点,研究生4.3绩点,研究生5.0绩点,研究生均分,研究生原始成绩,研究生学校档次,IELTS_Overall,IELTS_R,IELTS_L,IELTS_S,IELTS_W,TOEFL_Overall,TOEFL_R,TOEFL_L,TOEFL_S,TOEFL_W,GRE_Overall,GRE_V,GRE_Q,GRE_AW,GMAT_Overall,GMAT_Q,GMAT_V,LSAT
3016,1958176,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,社会学,3.6,3.46,3.6,86.0,3.6/4.0,无 特别 的 项目 有 一个 社会学 年会 的 论文 发表 半年 交流 经历,,,,,,,,,,,,,102,26,25,23,28,326,156,170,3.0,,,,
3017,1958177,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,工程管理,3.62,3.48,3.62,86.2,3.62,,,,,,,,,,,,,,106,29,27,23,27,323,155,168,3.5,,,,
3018,1958173,,,数学与应用数学,3.5,3.37,3.5,85,85/100  7/70,,,,,,,,,6,6.5,6,5,6,,,,,,,,,,,,,
3019,1958184,,双非,生物技术,3.3,3.2,3.3,83.0,3.3,,,,,,,,,,,,,,90,28,22,20,20,316,150,166,3.0,,,,
3020,1958178,,港校,Chemical Technology,3.2,3.12,3.2,82.0,3.2/4 (ranking ~30%-50%),,,,,,,,,7,8,6,7,6,,,,,,,,,,,,,
3021,1958183,,双非,景观建筑设计,3.49,3.37,3.49,84.9,WES:3.49/4.0,,,,,,,,,,,,,,96,26,26,22,22,302,140,162,3.0,,,,
3022,1958182,,,英语,4.0,3.81,4.0,90,90/S,四封 推荐信 两封 研究生 教授 推荐信 两封 教授 推荐信 交流 经历 内所 实习 个 月 本科 研究生 均 一些 奖项 一年,法律,3.9,3.72,3.9,89,89/AA,北大/清华/人大/复旦,,,,,,,,,,,,,,,,,,
3023,1958191,,,风险管理与保险,3.45,3.33,3.45,84.5,84.5/100,两次 奖学金 三次 银行 实习 全国 大学生 创业 大赛 银奖 一次 国际 志愿者 多次 社会 实践 活动 还有 各种 水水 的 学校 小奖 有 过 转 专业 经历,,,,,,,,,,,,,97,27,25,19,26,,,,,,,,
3024,1958204,,211 & 985,制药工程,3.5,3.37,3.5,85.0,3.5／4,实验室 打杂 两年,,,,,,,,7.5,9,8,6,6.5,102,27,27,23,25,320,152,168,3,,,,
3025,1958206,,厦门大学,金融,3.2,3.12,3.2,82.0,3.2,学生 机构 副 主席 香港 某 保险公司 建行 实习 各 一份 还 弄 了 份 保险公司 的 推荐信 一份 若干 其他 校内 经历 月 号 投递 材料 属于 第二轮 在 深圳 参加 面试 问 的 都 是 关于 我 简历 我 的 学校 背景 的 问题 然后 抽 一道 经济 的 选择题 和 一张 数学题 两个 微积分 两个 矩阵 简单 的 因为 我 之前 已经 交 过 专业 的 留位 费 然后 我 没有 跟 经济系 说明 清楚 我 更 他们 这个 专业 第二轮 的 发到 第二批 完 还 没收 到 录取 然后 就 急 了 写 邮件 打电话 联系 经济系 表明 我 的 态度 然后 今天 很 幸运地 收到 的 推 研信 感觉 我 的 录取 和 我 后来 跟 学院 的 联系 是 有 关系 的     所以 已经 交了 一个 留位 费 的 又 想 去 下 一个 专业 的 同学 要 记得 跟 后面 一个 学院 讲清楚 这点 很 有 可能 影响 学院 对 你 的 录取 哦 最后 还是 想 请教 下 有没有 哪位 中大 的 前辈 转留 位费 转 成功 的 我 之前 交了 工程学院 专业 的 留位 费 现在 非常 想 请教 能 不能 或 如何 把 留位 费 转移 到 社科院 的 经济系 谢谢,,,,,,,,6.5,6.5,7.5,6,6,,,,,,,,,,650,50,28,
3026,1958194,,,,,,,,,有 独立 田野 有 经历 有 短期 交流 有 相关 的 实践 和 实习 但 没有 会议 没有 发表 本科 一坨 屎 研究生 人家 又 不 看重 总体而言 背景 还是 挺 柔弱 的,,,,,,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
3027,1958190,,211 & 985,应数&精算,3.74,3.58,3.74,87.37,87.37／10%,一篇 论文 有 项目 经验 ／ 奖学金 ／ 社会活动,,,,,,,,8,8.5,9,8,6.5,,,,,,314,144,170,3.5,,,,
3028,1958202,,211 & 985,城市规划,3.8,3.63,3.8,88.0,3.8/4,,,,,,,,,,,,,,101,29,23,23,26,313,150,163,3,,,,
3029,1958229,,华南理工大学,材料科学与工程（无机非金属方向）,3.89,3.71,3.89,88.9,3.89 华工2016新算法 1/53,无无牛 推 无 面试 无 大奖 国奖 这种 同 成绩 挂钩 的 不算 有个 月 海外 实习 澳洲 感觉 自己 挺 平凡 的 申 了 一些   不抱 希望 得 之 我 幸失 之 我命 对 材料科学 的 前途 并 不太有 信心 但 不会 完全 脱离 老本行 希望 可以 找些 和 时代 大势 互联网 打印 … … 结合 的 点 继续 发展 有 找 中介 欢迎 留言 有 在 广州 的 申请 的 朋友 也 可以 约 出来 聊聊 人生,,,,,,,,,,,,,104,30,29,23,22,322,155,167,3.5,,,,
3030,1958226,,双非,动物营养学,3.41,3.3,3.41,84.1,3.41,参加 过 一个 科研项目 学生会 组织 但 没拿过 奖学金,,,,,,,,6.5,7.5,6.0,6.5,5.5,,,,,,,,,,,,,
3031,1958212,,天津大学,制药工程,4.0,3.83,4.02,90.23,90.23/100,三年 奖学金 + 两年 建模 + 队长 单项奖 最佳 模块 + 其他 实验室 实习 + 分子 模拟 毕设 + 大 四下 加拿大 化工 材料 项目,,,,,,,,,,,,,100,26,26,23,25,321,151,170,4.0,,,,
3032,1958224,,,经济学,,,,,,,,,,,,,,7,7.5,7.5,7.0,6.5,,,,,,,,,,,,,
3033,1958232,,双非,国际旅游与会展管理,3.5,3.37,3.5,85.0,3.5/4.0,小 奖 加元 两年 和 入学 奖,,,,,,,,7.5,8,8.5,7,5.5,,,,,,,,,,,,,
3034,1958231,,双非,历史学,4.0,3.81,4.0,90,90,转学 申请,,,,,,,,,,,,,100,28,24,26,22,,,,,,,,
3035,1958254,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,EE,,,,,top30%,,,,,,,,,,,,,,104,29,28,22,25,315,150,165,3,,,,
3036,1958253,,,,,,,,,,,,,,,,,,,,,,107,30,26,23,28,333,163,170,3.5,,,,
3037,1958261,,211,,3.8,3.63,3.8,88.0,WES GPA3.8,,,3.9,3.72,3.9,89.0,WES GPA3.9,211 & 985,,,,,,108,30,26,23,29,324,161,163,3,,,,
3038,1958259,,,机械工程及自动化,3.7,3.55,3.7,87,87/100,,,,,,,,,,,,,,98,28,23,22,25,323,153,170,3.0,,,,
3039,1958251,,Beloit College,Health and Society,3.61,3.47,3.61,86.1,3.618,本科 拿 了 一半 的 奖学金 前 几个 学期 选课 太 多 导致 三年 毕业 还 去 丹麦 交流 水 了 半年 华盛顿 特区 暑期 实习 个 月 学校     兼职 实习 两 学期 在 丹麦 和 哥本哈根大学 的 老师 做 了 一个 毕业 之后 回国 工作 在 一个 健康 传媒 呆 了 一段 后来 去 了 研究 机构 做 三封 推荐信 一个 是 自己 老板 千人 计划 回国 的 之前 在 哈佛 一个 是 中国 办公室 的 员工 英国人 和 毕业 的 一个 是 本科 老师 我们 学校 创系 的 系主任 到 现在 为止 还 没有 但 应该 快 了,,,,,,,,,,,,,,,,,,,,,,,,,
3040,1958255,,211 & 985,,4.0,3.81,4.0,90,90/100,我报 了 个 学校 的 + 项目 其实 就是 多个 面试 是 月份 来面 的 问 的 都 是 一些 挺 容易 的 问题 啦 应该 就是 测试 一下 口语 水平 吧,,,,,,,,6.5,7,7,6,6,,,,,,,,,,,,,
3041,1958273,,211,国际经济与贸易,2.45,2.47,2.45,74.5,2.45,三段 实习 一段 强 一段 在 广交会 商务部 大二 暑假 非洲 志愿者 经历 校内 奖项 若干 社团活动 若干 …,,,,,,,,,,,,,102,29,28,20,25,321,157,164,3.0,,,,
3042,1958294,,西交利物浦大学,Architecture,,,,,60%，2:1学位,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,1958271,,211 & 985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,1958272,,211,国际经济与贸易,2.45,2.47,2.45,74.5,2.45,三段 实习 一段 强 一段 在 广交会 商务部 大二 暑假 非洲 志愿者 经历 校内 奖项 若干 社团活动 若干 …,,,,,,,,,,,,,102,29,28,20,25,321,157,164,3.0,,,,
3045,1958283,,211 & 985,自动化,3.67,3.52,3.67,86.7,86.7,国家级 竞赛 省级 竞赛 学校 创新 项目 水 实习,,,,,,,,7.5,8.5,8.5,6.5,6.5,,,,,,,,,,,,,
3046,1958307,,211 & 985,英语,3.75,3.59,3.75,87.5,3.75,论文 实习 交换 都 有 一些 含金量 没有 很 高 啦,,,,,,,,7.5,8.5,8.5,6.5,7.0,,,,,,328,161,167,3.5,,,,
3047,1958314,,双非,电子商务,3.85,3.68,3.85,88.5,3.85,有 两个 银行 的 水 实习 小 奖 若干,,,,,,,,6.5,7,7.5,5.5,6,,,,,,,,,,,,,
3048,1958306,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,材料物理,3.2,3.12,3.2,82.0,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,1958345,,吉林大学,农业机械化及其自动化,3.47,3.35,3.47,84.7,84.7/3.27/9,四年 奖学金 二等奖 无 论文 有 大学生 创新 实验 经历,,,,,,,,7,7.5,7,6,6.5,,,,,,,,,,,,,
3050,1958316,,,,3.9,3.72,3.9,89,89/100,双非 一本,,,,,,,,,,,,,93,26,21,22,24,325+3.5,155,170,3.5,,,,
3051,1958308,,双非,商务英语,3.6,3.46,3.6,86.0,3.6,,,,,,,,,7,8.5,7,6.5,6.5,,,,,,,,,,,,,
3052,1958300,,211 & 985,电气工程及其自动化,3.89,3.71,3.89,88.94,88.94,,,,,,,,,,,,,,105,30,29,22,24,320,152,168,3,,,,
3053,1958335,,双非,智能科学与技术,3.28,3.19,3.28,82.8,3.28/5.00; 5/30,,,,,,,,,6.5,7.0,6.5,6.0,5.5,96,25,26,23,22,,,,,,,,
3054,1958302,,上海交通大学,建筑学,3.35,3.25,3.35,83.5,3.35/4.0,详细 申请 信息 已 发布 在 个人主页,,,,,,,,,,,,,103,30,29,19,25,320,150,170,4.0,,,,
3055,1958346,,中山大学,biomedical engineering,3.8,3.63,3.8,88,专业88,欧洲 年 生物医学 工程 会议 各种 校级 省级 国家级 项目 做过 的 项目 涉及 免疫 静电 纺丝 层层 自 组装 生物 反应器 等等,,,,,,,,7,8,7.5,6,6,,,,,,,,,,,,,
3056,1958357,,211,工商管理,3.8,3.63,3.8,88.0,3.8/4.0,,,,,,,,双非,7.5,9,7.5,6.5,6.5,,,,,,,,,,730,49,40,
3057,1958348,,,新闻学,3.6,3.46,3.6,86.0,3.6/4,一等 奖学金   三等 奖学金     台湾 交换 经历     英国 游学 经历     国奖 一个   省台 市台 实习 + 台湾 企业 实习,,,,,,,,6.5,7,6.5,6.5,6,,,,,,,,,,,,,
3058,1958356,,211 & 985,信息与计算科学,2.6,2.6,2.6,76,76/100,,概率与统计,3.7,3.55,3.7,87,87/100,211 & 985,6.5,7.5,7,6,6,,,,,,,,,,,,,
3059,1958368,,双非,土木工程（路桥）,3.61,4.3,4.9,99,3.61/4   9/99,三月 了 春雨 贵如油 啊,,,,,,,,,,,,,95,27,22,22,24,322,157,165,3,,,,
3060,1958364,,,电子信息工程,3.04,3.03,3.11,81.05,81.05%， 3.04/4.0,水 了 俩 项目,,,,,,,,7,7.5,8.5,6.0,6.0,,,,,,,,,,,,,
3061,1958372,,,英语,3.6,3.46,3.6,86.0,3.6/4,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,1958366,,211,园林,3.02,2.96,3.02,80.2,3.02/5,么 么 么 么,,,,,,,,6.5,7,6,6,6,,,,,,302,140,162,2.5,,,,
3063,1958388,,中山大学,biomedical engineering,3.8,3.63,3.8,88,专业88,年 欧洲 生物医学 工程 会议 校级 省级 国家级 项目 若干,,,,,,,,,,,,,,,,,,,,,,,,,
3064,1958403,,211 & 985,信息工程,3.6,3.46,3.6,86,"86/100, Major GPA 90/100",两篇     一作 非   一篇     期刊 在 投           实验室 相关 科研 两年 美国大学 数学 建模   一等奖,,,,,,,,,,,,,,,,,,,,,,,,,
3065,1958398,,211 & 985,信息管理与信息系统,3.10,3.03,3.1,81.0,3.10,无 论文 无 项目 研究生 学校 老师 三封 推荐信,国际贸易,3.55,3.42,3.55,85.5,3.55,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,102,27,28,22,25,325,155,170,3.5,,,,
3066,1958399,,,英語,3.42,3.31,3.42,84.2,3.42/4,-     -       本地 中學 工作 兩年,Translating and Interpreting,,,,,3/4,PolyU,,,,,,,,,,,,,,,,,,
3067,1958411,,,,3.52,3.39,3.52,85.2,3.52/4,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,1958406,,清华/北大/中科大,Construction Management,3.44,3.32,3.44,84.38,84.38/100,,,,,,,,,,,,,,105,27,26,23,29,324,154,170,3.0,,,,
3069,1958420,,211 & 985,软件工程,3.53,3.4,3.53,85.3,3.53/4.00   ranking: top15%,水 论文 录用 一篇 在 投 一篇 二作 一年 国励 两个 竞赛 获奖 均 为   感觉 作用 不大有 实习 项目 经验 尚且 过得去,,,,,,,,,,,,,91,29,18,20,24,,,,,,,,
3070,1958424,,华东政法大学,国际经济法,3.47,3.35,3.47,84.7,3.47/4,四段 实习 一 法院 三律 所 非内 所 三封 推荐信 两位 双语 授课 的 老师 一律 所 合伙人 志愿者 经历 若干 校法援 两年 - 年 相关 赛事 北京 上海 香港 团队 得 名次 香港城市大学 项目 一 学期 年 二战 过司 考无 论文 无 项目 纯,,,,,,,,7.5,8,8.5,6.5,6.5,101,27,28,23,23,,,,,,,,
3071,1958421,,双非,会计,3.3,3.2,3.3,83,83,两个 实习   一个 社科院 项目   三篇 期刊 发表,,,,,,,,7,7,7,7,7,,,,,,,,,,,,,
3072,1958471,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,广播电视新闻学,3.73,3.57,3.73,87.3,87.3/100,和 省级 电视台 实习,,,,,,,,7,8,7,7,6,,,,,,,,,,,,,
3073,1958463,,211,法学，双学位金融学,3.46,3.34,3.46,84.6,GPA3.46,奖学金 若干 一个 国家级 项目 校 学生 艺术团 学院 学生会 优秀 学子 奖励 计划 两年 工作 经验,,,,,,,,,,,,,,,,,,,,,,,,,
3074,1958425,,双非,广播电视编导,3.36,3.25,3.36,83.6,3.36/4,帝都 工作 年,,,,,,,,6.5,6.5,6.5,6.5,5.5,,,,,,,,,,,,,
3075,1958466,,211,对外汉语,,,,,4.06/5   4/106,,,,,,,,,7.5,8.5,8,7,6.5,,,,,,,,,,,,,
3076,1958485,,双非,会计+英语,3.72,3.56,3.72,87.2,3.72/4,,,,,,,,,,,,,,99,27,26,23,23,,,,,670,51,29,
3077,1958469,,,英语,4.0,3.81,4.0,90,90+,三篇 国内 期刊 一篇 国际 期刊 有 牛 推,语言学,4.0,3.81,4.0,90,90,,7.5,9,8,6.5,6,,,,,,,,,,,,,
3078,1958509,,双非,土木工程,3.73,3.57,3.73,87.3,87.3/100,,,,,,,,,,,,,,100,29,24,22,25,323,153,170,4,,,,
3079,1958480,,双非,教育学,3.7,3.55,3.7,87,87/100,月 中旬 提交 申请 无 牛腿   无 论文   参加 过 一个 小 项目   拿 过年 奖学金 个 媒体 实习  ,,,,,,,,6.5,8,7,5.5,6,,,,,,,,,,,,,
3080,1958521,,211 & 985,英语／教育双学位,4.0,3.93,4.15,91.49,91.49/100  92/100  2/45,,,,,,,,,8,9,8.5,7,7.5,,,,,,,,,,,,,
3081,1958533,,211,建筑学,3.14,3.06,3.14,81.4,3.14,,,,,,,,,,,,,,92,27,23,21,21,305,146,159,2.0,,,,
3082,1958478,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,Broadcasting Journalism,3.44,3.32,3.44,84.4,84.4%,水 专业 的 学渣 一枚 无 科研 作品 拿过 两个 全国性 的 小奖 和 专业 方向 无关 英语 短板 → _ →,,,,,,,,6.5,7,7.5,6,6,,,,,,,,,,,,,
3083,1958515,,北京航空航天大学,英语,3.42,3.31,3.42,84.2,3.42/4,猎头 实习   学校 渣 渣 奖项   其他 无,,,,,,,,,,,,,94,26,22,22,24,,,,,,,,
3084,1958543,,,制药工程,3.3,3.2,3.3,83,83/100,语言 成绩 还 不错 均分 一般 几个 水 实习 ～ 还有 学校 各种 奖学金 活动 之类 的 ～,,,,,,,,7,7.5,7.5,6,6,,,,,,,,,,,,,
3085,1958527,,211,风景园林,3.46,3.34,3.46,84.56,84.56/100,,,,,,,,,7,7.5,7.5,6,6,,,,,,,,,,,,,
3086,1958536,,211 & 985,经济地理与城乡规划,3.9,3.72,3.9,89.0,3.9/4.0,算是 半转 专业 吧 本科 就 有 研究 过 交通 规划 然后 也 一直 在 做 交通,,,,,,,,,,,,,109,30,29,24,26,324,154,160,3.5,,,,
3087,1958541,,211 & 985,传播,3.6,3.46,3.6,86,主修86  双学位 83,发 过 两篇 水 文章 教授 给 了 推荐信 有点 社会 性质 奖学金 半年 工作 经历 我 觉得 唯一 的 优势 就是 我 是 文学 历史学 双 学士学位 了 条件 确实 很 一般,,,,,,,,,,,,,,,,,,,,,,,,,
3088,1958548,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,GIS,3.53,3.4,3.53,85.3,3.53,交流 一年 两封 教授 推荐信,,,,,,,,,,,,,98,27,23,23,25,318,148,170,3,,,,
3089,1958557,,211 & 985,广播电视新闻学,3.52,3.39,3.52,85.2,WES:3.52,报社 电视台 公司 实习 ＋ 国家级 设计 类 比赛 二等奖 ＋ 个 与 企业 合作 的 项目 ＋ 小 奖学金,,,,,,,,7,7.5,8.5,6,6,,,,,,309,149,160,3.5,,,,
3090,1958564,,清华/北大/中科大,金融学,3.71,3.56,3.71,87.1,3.71/4.0,,,,,,,,,,,,,,112,29,29,26,28,,,,,740,51,40,
3091,1958546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,1958572,,,Economics,3.67,3.52,3.67,86.7,3.67,院 主任 日本央行 我 也 不知 是否 算 牛腿 普通 教授 几个 吧 做 的 和   相关,,,,,,,,,,,,,,,,,,,,,,,,,
3093,1958550,,211 & 985,建筑,3.39,3.28,3.39,83.9,3.39,请 的 小伙伴 在 月 前 结束  ,,,,,,,,,,,,,103,25,24,26,28,311,145,166,3,,,,
3094,1958568,,211 & 985,港口航道与海岸工程,,,,,,,,,,,,,,7,7,7,6.5,6.5,,,,,,,,,,,,,
3095,1958563,,双非,法学,3.6,3.46,3.6,86.0,3.6/4，排名前10左右,跨专业 申请人 的 大概 不 多 … … 以下 是 新闻 的 相关 内容 份 发表 英文 新闻 类 作品 份 地方 报社 实习 加拿大 法国 交流 除了 法学 之外 还 选过 社会学 和 经济学 的 课 成绩 挺 好会 一点 法语 海外 实习 + 在 埃及 拍 的 迷你 纪录片 在 领跑 计划 获奖 国家 奖学金 辩论 队 省级 三创 项目 成员   题材 是 法学 的 挑战杯 负责人 省级 获奖 题材 是 法学 - 传媒 的 推荐人 是 一份 英文 作品 的 编辑 英国人 报社 实习 的 指导老师 大学 里 联系 密切 的 老师 法学 的 相关 材料 是 除了 这个 之外 还有 一份 水 实习 大概 能 猜出 为啥 被 拒 了 吧 哈哈哈,,,,,,,,8,8.5,9,7.5,7.5,117,30,30,29,28,331,166,165,4.5,,,,
3096,1958558,,清华/北大/中科大,广播电视新闻学,3.66,3.51,3.66,86.6,3.66,大 新传 广电 专业 专排 第二 学校 奖学金 每年 都 有 得 过 两次 校内 挑战杯 奖 焦点访谈 实习 一个月 国际 科技类 公司 实习 三个 月 有 两次 暑期 交流 澳大利亚 + 德国 经验 在 学校 新 媒体 研究院 做 助研 政治 舆情 方向 课程 作业 拍过 大大小小 的 剧情片 纪录片 北大 电视台 和 北大 国际合作部 学生 工作 喜欢 摄影 会 和 基础 的 网页 代码 当然 这 都 没 啥 用 啦,,,,,,,,,,,,,106,30,28,23,25,326,158,168,3.5,,,,
3097,1958575,,,,,,,,,一篇 一个 专利 国家 奖学金 挑战杯 金奖,,,,,,,,,,,,,,,,,,,,,,,,,
3098,1958582,,"University of California, Santa Barbara",Asian Studies & Chemistry,3.94,3.75,3.94,89.4,3.94/4.0,-   其实 是 才 下决心 转 专业 申请 的 之前 读 的 是 化学 _ з ゝ ∠ _ 教授 说   很酷 炫 的 你 一定 要 好好 提 一下 -         拿过 日语 的 拿 了 学校 的 -   日语 但是 当时 申请 的 时候 只有 的 结果 出 了 -   三个 推荐人 都 对 自己 很 了解 有 一个 大牛 其他 两个 教授 也 都 很 厉害 的 样子,,,,,,,,,,,,,,,,,,326,156,170,4.0,,,,
3099,1958595,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电子商务,3.24,3.15,3.24,82.4,3.24,无 论文 无牛 推 两个 国创 项目 实习 一份 国奖,,,,,,,,,,,,,89,27,21,20,21,,,,,,,,
3100,1958633,,,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,1958607,,211 & 985,Economics,3.57,3.43,3.57,85.7,3.57/4.0,求问 其他 录 了 这个 项目 的 同学 呀 一起 讨论 下 ？ 欢迎 加入 -     群号码,,,,,,,,,,,,,105,28,27,27,23,321,151,170,3.5,,,,
3102,1958643,,,城市规划,3.31,3.21,3.31,83.1,3.31/5,,,,,,,,,6,6,6,"5,5","5,5",,,,,,,,,,,,,
3103,1958576,,211 & 985,国际经济与贸易,,,,,,  加拿大 水本 交流,,,,,,,双非,,,,,,,,,,,,,,,,,,
3104,1958650,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,1958668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,1958664,,211,汉语言文学（师范）,3.6,3.46,3.6,86.0,GPA3.6,市 优秀 大学 毕业生 三年 的 奖学金 优秀学生 干部 等 奖励 一个 实习 一个 支教,,,,,,,,,,,,,,,,,,,,,,,,,
3107,1958670,,211,金融学,3.7,3.55,3.7,87,87,有 几个 校内 奖学金 学生会 创业 比赛 实习 两个 券商 一个 银行,,,,,,,,7,8.5,8,6,6,,,,,,,,,,710,50,35,
3108,1958662,,211,汉语言文学（师范）,3.6,3.46,3.6,86.0,GPA3.6,市 优秀 大学 毕业生 三年 的 奖学金 优秀学生 干部 等 奖励 一个 实习 一个 支教,,,,,,,,,,,,,,,,,,,,,,,,,
3109,1958677,,中山大学,社会学,3.9,3.72,3.9,89.0,3.9/4.0,公益 社团 负责人 有 一年 工作 经验,,,,,,,,7.0,7.0,8.5,6.0,6.0,,,,,,,,,,,,,
3110,1958686,,双非,金融学,3.2,3.12,3.2,82.0,3.2/5,六级 成绩 申请,,,,,,,,,,,,,,,,,,,,,,,,,
3111,1958690,,,,4.0,3.81,4.0,90,90+,一篇 中文 核心 若干篇 普通 论文 两次 国奖 年 年 奖学金,,4.0,3.81,4.0,90,90+,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
3112,1958689,,211,经济,3.5,3.37,3.5,85,85/100,冲动 之下 申请 的   后来 考虑 到 没有 可能 不太好,,,,,,,,7,7,8,6,6.5,,,,,,329,161,168,3,,,,
3113,1958727,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,3.65,3.5,3.65,86.5,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,1958700,,清华/北大/中科大,法学,2.6,2.6,2.6,76,76/100（LSAC给算的成绩）,工作 七年,,,,,,,,,,,,,102,30,23,22,27,,,,,,,,
3115,1958694,,,会计学（注册会计师方向）,3.57,3.43,3.57,85.7,3.57/4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,1958695,,双非,英语专业,3.77,3.63,3.8,88,3.77/5.0   1/88,参加 过 各种 国家级 的 英语演讲 写作 阅读 竞赛 社团 经历 有校 广播站 剧社 和 志愿者 做过 交传,,,,,,,,,,,,,106,29,28,26,23,322,159,163,3.0,,,,
3117,1958703,,ECUPL,Law,3.92,3.74,3.92,89.2,"3.92/4.00 (top 1%), S",学术 科研 一篇 水 论文 创新 及 调研 项目 若干 质量 均 不 高 其中 三个 担任 负责人 社团活动 校 学术性 学生 社团 负责人 在 任 期间 曾 担任   主编 法律援助 成员 奖学金 校内 奖学金 若干 + 两个 律所 奖学金 其中 之一 是 方达 推荐人 副校长 教授 本 学院 副教授 曾任 某 美国 法学院 客座教授 某内 所无牛 推 实习 某   外所 至今 某 内资 所 基层 法院,,,,,,,,,,,,,107,27,27,24,29,,,,,,,,
3118,1958746,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,软件工程,3.5,3.37,3.5,85.0,3.5，,项目 经验 若干 工作 经验 年 多 两篇 水文,计算机软件,3.9,3.72,3.9,89.0,3.9,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,,,,,,,,,,,,,,,,
3119,1958759,,,环艺,3.30,3.2,3.3,83.0,GPA 3.30/4.0,,,,,,,,,,,,,,93,26,24,20,23,308,150,158,3.0,,,,
3120,1958744,,SFU,"Economics, Minor in Statistics",3.3,3.2,3.3,82.97,3.2/4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,1958777,,211,城市规划,3.49,3.37,3.49,84.9,WES认证的是3.49，我在他们网站上算的是3.63,发表 一篇 水 论文 一个 国家级 创新 项目 两段 水 实习,,,,,,,,,,,,,103,28,26,24,25,,,,,,,,
3122,1958741,,211 & 985,景观学,3.3,3.2,3.3,83,83 5/11,,,,,,,,,,,,,,103,29,27,23,24,318,150,168,2.5,,,,
3123,1958757,,同济大学,外國語文學系／英語系,3.5,3.37,3.5,85.0,3.5/4,同濟 大學交換 學生 科技部 台灣 研究 計畫 校內 研究 計畫 英文 輔導 老師 文化部 台灣文 創園 區志工,,,,,,,,7.5,8.5,8.5,6,6,,,,,,,,,,,,,
3124,1958762,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,园林,3.31,3.21,3.31,83.1,3.31/4,无牛 推 实习 两份 一份 基金 公司 一份 杭州 本地 景观 事务所,,,,,,,,,,,,,,,,,,,,,,,,,
3125,1958784,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑学,,,,,,,,,,,,,,,,,,,100,26,29,23,22,,,,,,,,
3126,1958780,Mathematics（数学）                    91%,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,工程管理,,,,,3/65,,,,,,,,,,,,,,108,29,30,24,26,325,155,170,4.5,,,,
3127,1958787,,双非,汉语言文学,3.4,3.29,3.4,84.0,3.4（4.0） 专业前5%,有 一个 美国 交换 生 经历 有 一封 美国 教授 推荐信 国际性 活动 参加 了 几个 个 很 普通 的 实习 挺 多 奖学金 但 都 是 校级 的,,,,,,,,6.5,7,7.5,6.5,6,,,,,,,,,,,,,
3128,1958855,,双非,建筑学,,,,,,,,,,,,,,7.5,8.5,8.5,6.5,5.5,,,,,,,,,,,,,
3129,1958790,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,软件工程＋经济学,3.3,3.2,3.3,83,83% ；ranking 5/52,项目 ＊     实习 ＊,,,,,,,,,,,,,,,,,,,,,,,,,
3130,1958788,,,软件工程,3.52,3.39,3.52,85.2,3.52/4,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,1958839,,University of Toronto,Architectural Studies,3.21,3.12,3.21,82.1,3.21/4,,,,,,,,,,,,,,,,,,,329,162,167,3.5,,,,
3132,1958833,Chemistry（化学）                    96,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,3.79,3.62,3.79,87.9,"3.79/4.0, 2/106",,,,,,,,,,,,,,109,29,29,23,28,329,159,170,3.0,,,,
